model,label,roc_auc,accuracy,precision,recall,f1,roc_auc_cv_mean,roc_auc_cv_std,source_roc_auc,roc_auc_gap_vs_source
lightgbm,Lightgbm,0.6965,0.617,0.8621,0.5725,0.6881,0.7002,0.0786,0.8031,-0.1066
xgboost,Xgboost,0.6199,0.4703,0.8309,0.3541,0.4966,0.6244,0.0811,0.8027,-0.1828
logistic_regression,Logistic Regression,0.6056,0.3675,0.668,0.284,0.3985,0.6103,0.0518,0.8617,-0.2561
random_forest,Random Forest,0.5637,0.3923,0.8455,0.2158,0.3439,0.573,0.0856,0.7874,-0.2237
isolation_forest,Isolation Forest,0.4094,0.2621,0.0,0.0,0.0,0.4027,0.0629,0.4315,-0.0221
