run_label,model,roc_auc,accuracy,precision,recall,f1,n_total,n_train,n_test,dataset,output_dir
petrobras,lightgbm,0.984,0.9118,0.9798,0.8988,0.937,7537348,6029878,1507470,/Users/daylnnguyen/Documents/PipelineData/data/processed/petrobras_3w/petrobras_3w_scada.csv,/Users/daylnnguyen/Documents/PipelineData/models/petrobras
petrobras,random_forest,0.9835,0.9281,0.9756,0.9255,0.9494,7537348,6029878,1507470,/Users/daylnnguyen/Documents/PipelineData/data/processed/petrobras_3w/petrobras_3w_scada.csv,/Users/daylnnguyen/Documents/PipelineData/models/petrobras
petrobras,xgboost,0.983,0.9097,0.9794,0.8963,0.9355,7537348,6029878,1507470,/Users/daylnnguyen/Documents/PipelineData/data/processed/petrobras_3w/petrobras_3w_scada.csv,/Users/daylnnguyen/Documents/PipelineData/models/petrobras
petrobras,logistic_regression,0.8655,0.7824,0.9149,0.775,0.8382,7537348,6029878,1507470,/Users/daylnnguyen/Documents/PipelineData/data/processed/petrobras_3w/petrobras_3w_scada.csv,/Users/daylnnguyen/Documents/PipelineData/models/petrobras
petrobras,isolation_forest,0.4732,0.2671,0.0,0.0,0.0,7537348,6029878,1507470,/Users/daylnnguyen/Documents/PipelineData/data/processed/petrobras_3w/petrobras_3w_scada.csv,/Users/daylnnguyen/Documents/PipelineData/models/petrobras
